Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Thu, Jan 12, 2017",3:00 PM,Indiana Pacers,112,Denver Nuggets,140,Box Score,,"at London, England"
"Thu, Jan 12, 2017",10:30 PM,Detroit Pistons,107,Golden State Warriors,127,Box Score,,
"Thu, Jan 12, 2017",8:00 PM,Chicago Bulls,89,New York Knicks,104,Box Score,,
"Thu, Jan 12, 2017",10:00 PM,Dallas Mavericks,113,Phoenix Suns,108,Box Score,,"at Mexico City, Mexico"
"Thu, Jan 12, 2017",8:30 PM,Los Angeles Lakers,94,San Antonio Spurs,134,Box Score,,
"Fri, Jan 13, 2017",8:00 PM,Boston Celtics,103,Atlanta Hawks,101,Box Score,,
"Fri, Jan 13, 2017",8:00 PM,Memphis Grizzlies,110,Houston Rockets,105,Box Score,,
"Fri, Jan 13, 2017",8:00 PM,Miami Heat,108,Milwaukee Bucks,116,Box Score,,
"Fri, Jan 13, 2017",8:00 PM,Oklahoma City Thunder,86,Minnesota Timberwolves,96,Box Score,,
"Fri, Jan 13, 2017",7:00 PM,Charlotte Hornets,93,Philadelphia 76ers,102,Box Score,,
"Fri, Jan 13, 2017",10:00 PM,Orlando Magic,115,Portland Trail Blazers,109,Box Score,,
"Fri, Jan 13, 2017",10:30 PM,Cleveland Cavaliers,120,Sacramento Kings,108,Box Score,,
"Fri, Jan 13, 2017",7:30 PM,Brooklyn Nets,113,Toronto Raptors,132,Box Score,,
"Fri, Jan 13, 2017",10:30 PM,Detroit Pistons,77,Utah Jazz,110,Box Score,,
"Sat, Jan 14, 2017",5:00 PM,New Orleans Pelicans,99,Chicago Bulls,107,Box Score,,
"Sat, Jan 14, 2017",3:30 PM,Los Angeles Lakers,97,Los Angeles Clippers,113,Box Score,,
"Sat, Jan 14, 2017",6:00 PM,San Antonio Spurs,105,Phoenix Suns,108,Box Score,,"at Mexico City, Mexico"
"Sat, Jan 14, 2017",9:00 PM,Orlando Magic,107,Utah Jazz,114,Box Score,,
"Sat, Jan 14, 2017",8:00 PM,Philadelphia 76ers,93,Washington Wizards,109,Box Score,,
"Sun, Jan 15, 2017",3:00 PM,Milwaukee Bucks,98,Atlanta Hawks,111,Box Score,,
"Sun, Jan 15, 2017",6:00 PM,Houston Rockets,137,Brooklyn Nets,112,Box Score,,
"Sun, Jan 15, 2017",2:00 PM,Minnesota Timberwolves,87,Dallas Mavericks,98,Box Score,,
"Sun, Jan 15, 2017",9:30 PM,Detroit Pistons,102,Los Angeles Lakers,97,Box Score,,
"Sun, Jan 15, 2017",9:00 PM,Chicago Bulls,108,Memphis Grizzlies,104,Box Score,,
"Sun, Jan 15, 2017",9:00 PM,Oklahoma City Thunder,122,Sacramento Kings,118,Box Score,,
"Sun, Jan 15, 2017",3:00 PM,New York Knicks,101,Toronto Raptors,116,Box Score,,
"Mon, Jan 16, 2017",7:30 PM,Charlotte Hornets,98,Boston Celtics,108,Box Score,,
"Mon, Jan 16, 2017",5:00 PM,Orlando Magic,112,Denver Nuggets,125,Box Score,,
"Mon, Jan 16, 2017",8:00 PM,Cleveland Cavaliers,91,Golden State Warriors,126,Box Score,,
"Mon, Jan 16, 2017",4:00 PM,New Orleans Pelicans,95,Indiana Pacers,98,Box Score,,
"Mon, Jan 16, 2017",10:30 PM,Oklahoma City Thunder,98,Los Angeles Clippers,120,Box Score,,
"Mon, Jan 16, 2017",3:30 PM,Philadelphia 76ers,113,Milwaukee Bucks,104,Box Score,,
"Mon, Jan 16, 2017",1:00 PM,Atlanta Hawks,108,New York Knicks,107,Box Score,,
"Mon, Jan 16, 2017",9:00 PM,Utah Jazz,106,Phoenix Suns,101,Box Score,,
"Mon, Jan 16, 2017",2:00 PM,Portland Trail Blazers,101,Washington Wizards,120,Box Score,,
"Tue, Jan 17, 2017",7:30 PM,Toronto Raptors,119,Brooklyn Nets,109,Box Score,,
"Tue, Jan 17, 2017",8:00 PM,Dallas Mavericks,99,Chicago Bulls,98,Box Score,,
"Tue, Jan 17, 2017",10:30 PM,Denver Nuggets,127,Los Angeles Lakers,121,Box Score,,
"Tue, Jan 17, 2017",7:30 PM,Houston Rockets,103,Miami Heat,109,Box Score,,
"Tue, Jan 17, 2017",8:30 PM,Minnesota Timberwolves,114,San Antonio Spurs,122,Box Score,,
"Wed, Jan 18, 2017",7:30 PM,New York Knicks,117,Boston Celtics,106,Box Score,,
"Wed, Jan 18, 2017",7:00 PM,Portland Trail Blazers,85,Charlotte Hornets,107,Box Score,,
"Wed, Jan 18, 2017",8:00 PM,Atlanta Hawks,95,Detroit Pistons,118,Box Score,,
"Wed, Jan 18, 2017",10:30 PM,Oklahoma City Thunder,100,Golden State Warriors,121,Box Score,,
"Wed, Jan 18, 2017",8:00 PM,Milwaukee Bucks,92,Houston Rockets,111,Box Score,,
"Wed, Jan 18, 2017",8:00 PM,Orlando Magic,98,New Orleans Pelicans,118,Box Score,,
"Wed, Jan 18, 2017",7:00 PM,Toronto Raptors,89,Philadelphia 76ers,94,Box Score,,
"Wed, Jan 18, 2017",10:30 PM,Indiana Pacers,106,Sacramento Kings,100,Box Score,,
"Wed, Jan 18, 2017",7:00 PM,Memphis Grizzlies,101,Washington Wizards,104,Box Score,,
"Thu, Jan 19, 2017",7:00 PM,Phoenix Suns,103,Cleveland Cavaliers,118,Box Score,,
"Thu, Jan 19, 2017",10:30 PM,Minnesota Timberwolves,104,Los Angeles Clippers,101,Box Score,,
"Thu, Jan 19, 2017",7:30 PM,Dallas Mavericks,95,Miami Heat,99,Box Score,,
"Thu, Jan 19, 2017",8:00 PM,Washington Wizards,113,New York Knicks,110,Box Score,,
"Thu, Jan 19, 2017",8:30 PM,Denver Nuggets,104,San Antonio Spurs,118,Box Score,,
"Fri, Jan 20, 2017",8:00 PM,Chicago Bulls,93,Atlanta Hawks,102,Box Score,,
"Fri, Jan 20, 2017",7:00 PM,Toronto Raptors,78,Charlotte Hornets,113,Box Score,,
"Fri, Jan 20, 2017",8:30 PM,Utah Jazz,112,Dallas Mavericks,107,Box Score,OT,
"Fri, Jan 20, 2017",8:00 PM,Golden State Warriors,125,Houston Rockets,108,Box Score,,
"Fri, Jan 20, 2017",10:30 PM,Indiana Pacers,95,Los Angeles Lakers,108,Box Score,,
